{'model': 'gcn', 'task': 'train', 'dataset': 'pokec_z', 'dgl_data': False, 'device': 'cpu', 'seed': 0, 'epochs': 200, 'print_every': 1, 'save_every': -1, 'lr': 0.01, 'weight_decay': 0.0005, 'hidden': 64, 'patience': 20, 'warmup': 50, 'dropout': 0.0, 'kd_temp': 4, 'kd_lambda': 0.5, 'hidden_vgae': 64, 'latent_size': 32, 'hgr_steps_per_epoch': 2, 'lambda_hgr': 0.5, 'hidden_hgr': 64, 'channels': 8, 'lambda_dd': 0.1, 'alpha': 0.1, 'beta': 1.0, 'gamma': 5.0, 'adv_steps_per_epoch': 2, 'mask_warmup': 0.4}
--- Starting train GCN on pokec_z ---
Starting GCN training on pokec_z...
Epoch: 1 | Loss: 1.2333 | Val F1: 0.618739902973175 | Val Acc: 0.4480 | Time: 0.2402s
Epoch: 2 | Loss: 3.5947 | Val F1: 0.618739902973175 | Val Acc: 0.4480 | Time: 0.2187s
Epoch: 3 | Loss: 2.1293 | Val F1: 0.07707910750507099 | Val Acc: 0.4678 | Time: 0.2185s
Epoch: 4 | Loss: 0.7282 | Val F1: 0.35568952560424805 | Val Acc: 0.5520 | Time: 0.2193s
Epoch: 5 | Loss: 1.0123 | Val F1: 0.35568952560424805 | Val Acc: 0.5520 | Time: 0.2185s
Epoch: 6 | Loss: 1.1801 | Val F1: 0.35568952560424805 | Val Acc: 0.5520 | Time: 0.2185s
Epoch: 7 | Loss: 0.9854 | Val F1: 0.35568952560424805 | Val Acc: 0.5520 | Time: 0.2188s
Epoch: 8 | Loss: 0.7482 | Val F1: 0.6710574460300036 | Val Acc: 0.6495 | Time: 0.2192s
Epoch: 9 | Loss: 0.6684 | Val F1: 0.0925553319919517 | Val Acc: 0.4725 | Time: 0.2189s
Epoch: 10 | Loss: 0.7244 | Val F1: 0.1027351567711808 | Val Acc: 0.4756 | Time: 0.2191s
Epoch: 11 | Loss: 0.7375 | Val F1: 0.2875739644970414 | Val Acc: 0.5306 | Time: 0.2185s
