{'model': 'vgae', 'task': 'train', 'dataset': 'credit', 'dgl_data': False, 'device': 'cuda', 'seed': 0, 'epochs': 200, 'print_every': 1, 'save_every': -1, 'lr': 0.01, 'weight_decay': 0.0005, 'hidden': 64, 'patience': 20, 'warmup': 50, 'dropout': 0.0, 'kd_temp': 4, 'kd_lambda': 0.5, 'hidden_vgae': 256, 'latent_size': 32, 'hgr_steps_per_epoch': 10, 'lambda_hgr': 0.5, 'hidden_hgr': 512, 'channels': 8, 'lambda_dd': 0.1, 'alpha': 0.1, 'beta': 1.0, 'gamma': 5.0, 'adv_steps_per_epoch': 2, 'mask_warmup': 0.4}
--- Starting train VGAE on credit ---
Starting Stage 1 (VGAE) training on credit...
Epoch 1 | Train Loss: 28.3094 | Val Loss: 62.0227 | LS: 0.7029 | LX: 18.7976 | LA: 1.7909 | HGR: 0.0583 | KL: 0.2110 | Ent: -0.6920 | Time: 0.61s
Epoch 2 | Train Loss: 69.7299 | Val Loss: 16.9455 | LS: 0.8082 | LX: 59.3981 | LA: 1.5663 | HGR: 0.0207 | KL: 0.5589 | Ent: -0.6834 | Time: 0.10s
Epoch 3 | Train Loss: 26.2765 | Val Loss: 10.5607 | LS: 1.0143 | LX: 14.0313 | LA: 1.4653 | HGR: 0.0615 | KL: 2.4800 | Ent: -0.6368 | Time: 0.10s
Epoch 4 | Train Loss: 21.6847 | Val Loss: 4.9911 | LS: 1.2191 | LX: 7.4947 | LA: 1.4193 | HGR: 0.0227 | KL: 5.1500 | Ent: -0.5796 | Time: 0.10s
Epoch 5 | Train Loss: 12.5600 | Val Loss: 4.6539 | LS: 0.8388 | LX: 2.0947 | LA: 1.4037 | HGR: 0.0204 | KL: 2.1050 | Ent: -0.6738 | Time: 0.10s
Epoch 6 | Train Loss: 10.5193 | Val Loss: 4.1818 | LS: 0.6533 | LX: 1.9085 | LA: 1.3946 | HGR: 0.0323 | KL: 10.7391 | Ent: -0.6829 | Time: 0.10s
Epoch 7 | Train Loss: 10.6269 | Val Loss: 5.0662 | LS: 0.4715 | LX: 1.7761 | LA: 1.3946 | HGR: 0.0072 | KL: 194.5172 | Ent: -0.5891 | Time: 0.10s
Epoch 8 | Train Loss: 9.1697 | Val Loss: 4.2221 | LS: 0.3883 | LX: 2.1964 | LA: 1.4008 | HGR: 0.0569 | KL: 56.9482 | Ent: -0.4441 | Time: 0.10s
Epoch 9 | Train Loss: 8.5067 | Val Loss: 3.9950 | LS: 0.4430 | LX: 1.0611 | LA: 1.3903 | HGR: 0.0475 | KL: 33.3058 | Ent: -0.5542 | Time: 0.10s
Epoch 10 | Train Loss: 8.1278 | Val Loss: 3.9342 | LS: 0.4504 | LX: 1.0603 | LA: 1.3869 | HGR: 0.0408 | KL: 14.5035 | Ent: -0.5713 | Time: 0.10s
Epoch 11 | Train Loss: 7.6123 | Val Loss: 4.0304 | LS: 0.4052 | LX: 1.0886 | LA: 1.3873 | HGR: 0.0361 | KL: 11.3436 | Ent: -0.5124 | Time: 0.10s
Epoch 12 | Train Loss: 7.3226 | Val Loss: 3.6660 | LS: 0.3564 | LX: 1.1391 | LA: 1.3900 | HGR: 0.0812 | KL: 14.6270 | Ent: -0.3767 | Time: 0.10s
Epoch 13 | Train Loss: 6.8176 | Val Loss: 3.3966 | LS: 0.3470 | LX: 1.0721 | LA: 1.3881 | HGR: 0.0504 | KL: 7.7892 | Ent: -0.3801 | Time: 0.10s
Epoch 14 | Train Loss: 6.5128 | Val Loss: 3.2852 | LS: 0.3442 | LX: 1.0245 | LA: 1.3868 | HGR: 0.0313 | KL: 3.9123 | Ent: -0.3809 | Time: 0.10s
Epoch 15 | Train Loss: 6.3630 | Val Loss: 3.2107 | LS: 0.3372 | LX: 1.0138 | LA: 1.3867 | HGR: 0.0252 | KL: 4.4952 | Ent: -0.2479 | Time: 0.10s
Epoch 16 | Train Loss: 6.2537 | Val Loss: 3.1703 | LS: 0.3366 | LX: 1.0022 | LA: 1.3862 | HGR: 0.0213 | KL: 2.0926 | Ent: -0.3311 | Time: 0.10s
Epoch 17 | Train Loss: 6.1548 | Val Loss: 3.1693 | LS: 0.3295 | LX: 1.0152 | LA: 1.3859 | HGR: -0.0155 | KL: 2.1086 | Ent: -0.2813 | Time: 0.10s
Epoch 18 | Train Loss: 6.1199 | Val Loss: 3.2139 | LS: 0.3273 | LX: 1.0110 | LA: 1.3855 | HGR: -0.0084 | KL: 2.4076 | Ent: -0.2411 | Time: 0.10s
Epoch 19 | Train Loss: 6.0540 | Val Loss: 3.2020 | LS: 0.3207 | LX: 1.0111 | LA: 1.3856 | HGR: 0.0056 | KL: 1.7252 | Ent: -0.2963 | Time: 0.10s
Epoch 20 | Train Loss: 6.0108 | Val Loss: 3.2094 | LS: 0.3168 | LX: 1.0003 | LA: 1.3855 | HGR: 0.0100 | KL: 2.1906 | Ent: -0.2567 | Time: 0.10s
Epoch 21 | Train Loss: 5.8848 | Val Loss: 3.2287 | LS: 0.3059 | LX: 0.9954 | LA: 1.3857 | HGR: 0.0028 | KL: 1.8682 | Ent: -0.2703 | Time: 0.10s
Epoch 22 | Train Loss: 5.8259 | Val Loss: 3.2325 | LS: 0.3015 | LX: 0.9932 | LA: 1.3859 | HGR: 0.0024 | KL: 1.5590 | Ent: -0.2844 | Time: 0.10s
Epoch 23 | Train Loss: 5.7955 | Val Loss: 3.2350 | LS: 0.2991 | LX: 0.9937 | LA: 1.3859 | HGR: -0.0695 | KL: 1.5728 | Ent: -0.2745 | Time: 0.10s
Epoch 24 | Train Loss: 5.7945 | Val Loss: 3.2424 | LS: 0.2999 | LX: 0.9943 | LA: 1.3859 | HGR: 0.0439 | KL: 1.6400 | Ent: -0.2567 | Time: 0.10s
Epoch 25 | Train Loss: 5.7595 | Val Loss: 3.2609 | LS: 0.2980 | LX: 0.9917 | LA: 1.3859 | HGR: 0.0262 | KL: 1.4934 | Ent: -0.2568 | Time: 0.10s
Epoch 26 | Train Loss: 5.7281 | Val Loss: 3.2810 | LS: 0.2952 | LX: 0.9895 | LA: 1.3859 | HGR: 0.0432 | KL: 1.3948 | Ent: -0.2648 | Time: 0.10s
Epoch 27 | Train Loss: 5.7448 | Val Loss: 3.2573 | LS: 0.2959 | LX: 0.9886 | LA: 1.3859 | HGR: 0.0335 | KL: 1.4737 | Ent: -0.2662 | Time: 0.10s
Epoch 28 | Train Loss: 5.7066 | Val Loss: 3.2169 | LS: 0.2951 | LX: 0.9886 | LA: 1.3859 | HGR: 0.0279 | KL: 1.3126 | Ent: -0.2505 | Time: 0.10s
Epoch 29 | Train Loss: 5.7111 | Val Loss: 3.2146 | LS: 0.2993 | LX: 0.9897 | LA: 1.3858 | HGR: -0.0027 | KL: 1.1106 | Ent: -0.2327 | Time: 0.10s
Epoch 30 | Train Loss: 5.6786 | Val Loss: 3.2495 | LS: 0.2967 | LX: 0.9894 | LA: 1.3858 | HGR: -0.0114 | KL: 1.0212 | Ent: -0.2357 | Time: 0.10s
Epoch 31 | Train Loss: 5.6926 | Val Loss: 3.2378 | LS: 0.2963 | LX: 0.9890 | LA: 1.3858 | HGR: 0.0101 | KL: 0.9989 | Ent: -0.2546 | Time: 0.10s
Epoch 32 | Train Loss: 5.6964 | Val Loss: 3.2124 | LS: 0.2971 | LX: 0.9890 | LA: 1.3857 | HGR: -0.0004 | KL: 0.9527 | Ent: -0.2565 | Time: 0.10s
Epoch 33 | Train Loss: 5.6685 | Val Loss: 3.2418 | LS: 0.2945 | LX: 0.9890 | LA: 1.3857 | HGR: -0.0048 | KL: 1.0318 | Ent: -0.2469 | Time: 0.10s
Epoch 34 | Train Loss: 5.6942 | Val Loss: 3.2540 | LS: 0.2951 | LX: 0.9888 | LA: 1.3858 | HGR: 0.0116 | KL: 0.9850 | Ent: -0.2687 | Time: 0.10s
Epoch 35 | Train Loss: 5.6764 | Val Loss: 3.2270 | LS: 0.2928 | LX: 0.9885 | LA: 1.3859 | HGR: 0.0080 | KL: 0.9336 | Ent: -0.2795 | Time: 0.10s
