{'model': 'vgae', 'task': 'train', 'dataset': 'dblp', 'dgl_data': False, 'device': 'cuda', 'seed': 0, 'epochs': 200, 'print_every': 1, 'save_every': -1, 'lr': 0.001, 'weight_decay': 0.0005, 'hidden': 64, 'patience': 20, 'warmup': 50, 'dropout': 0.0, 'kd_temp': 4, 'kd_lambda': 0.5, 'hidden_vgae': 256, 'latent_size': 32, 'hgr_steps_per_epoch': 10, 'lambda_hgr': 0.5, 'hidden_hgr': 512, 'channels': 8, 'lambda_dd': 0.1, 'alpha': 0.1, 'beta': 1.0, 'gamma': 5.0, 'adv_steps_per_epoch': 2, 'mask_warmup': 0.4}
--- Starting train VGAE on dblp ---
Starting Stage 1 (VGAE) training on dblp...
Epoch 1 | Train Loss: 81.2299 | Val Loss: 23.3394 | LS: 0.7003 | LX: 71.3223 | LA: 2.2126 | HGR: 0.1592 | KL: 1.6821 | Ent: -0.6919 | Time: 0.60s
Epoch 2 | Train Loss: 48.5107 | Val Loss: 14.5030 | LS: 0.7272 | LX: 38.3728 | LA: 2.1755 | HGR: 0.2403 | KL: 1.6832 | Ent: -0.6907 | Time: 0.08s
Epoch 3 | Train Loss: 30.8061 | Val Loss: 10.2796 | LS: 0.7157 | LX: 20.8138 | LA: 2.1439 | HGR: 0.1282 | KL: 1.5170 | Ent: -0.6910 | Time: 0.09s
Epoch 4 | Train Loss: 22.1791 | Val Loss: 8.2823 | LS: 0.6899 | LX: 12.4735 | LA: 2.1148 | HGR: 0.1450 | KL: 1.3373 | Ent: -0.6919 | Time: 0.09s
Epoch 5 | Train Loss: 18.0261 | Val Loss: 7.4124 | LS: 0.6686 | LX: 8.5611 | LA: 2.0870 | HGR: 0.1212 | KL: 1.3496 | Ent: -0.6916 | Time: 0.09s
Epoch 6 | Train Loss: 16.1278 | Val Loss: 7.0038 | LS: 0.6438 | LX: 6.9393 | LA: 2.0605 | HGR: -0.0660 | KL: 1.6656 | Ent: -0.6901 | Time: 0.09s
Epoch 7 | Train Loss: 15.2420 | Val Loss: 6.9092 | LS: 0.6251 | LX: 6.2416 | LA: 2.0349 | HGR: 0.0352 | KL: 2.4260 | Ent: -0.6878 | Time: 0.09s
Epoch 8 | Train Loss: 14.7693 | Val Loss: 6.9790 | LS: 0.6032 | LX: 5.9597 | LA: 2.0108 | HGR: 0.0573 | KL: 3.8110 | Ent: -0.6839 | Time: 0.09s
Epoch 9 | Train Loss: 14.3990 | Val Loss: 7.2309 | LS: 0.5782 | LX: 5.7622 | LA: 1.9879 | HGR: 0.0786 | KL: 5.9017 | Ent: -0.6775 | Time: 0.09s
Epoch 10 | Train Loss: 14.1130 | Val Loss: 7.5100 | LS: 0.5511 | LX: 5.6252 | LA: 1.9661 | HGR: 0.0433 | KL: 8.2400 | Ent: -0.6666 | Time: 0.09s
Epoch 11 | Train Loss: 13.7800 | Val Loss: 7.7373 | LS: 0.5207 | LX: 5.4910 | LA: 1.9449 | HGR: 0.0847 | KL: 9.5799 | Ent: -0.6537 | Time: 0.09s
Epoch 12 | Train Loss: 13.4788 | Val Loss: 7.9691 | LS: 0.4952 | LX: 5.3809 | LA: 1.9243 | HGR: 0.0924 | KL: 9.9981 | Ent: -0.6394 | Time: 0.09s
Epoch 13 | Train Loss: 13.1726 | Val Loss: 8.1601 | LS: 0.4681 | LX: 5.2966 | LA: 1.9047 | HGR: 0.1088 | KL: 10.2425 | Ent: -0.6233 | Time: 0.09s
Epoch 14 | Train Loss: 12.8695 | Val Loss: 8.1773 | LS: 0.4410 | LX: 5.2411 | LA: 1.8855 | HGR: 0.0760 | KL: 10.2516 | Ent: -0.6039 | Time: 0.09s
Epoch 15 | Train Loss: 12.5665 | Val Loss: 8.1406 | LS: 0.4207 | LX: 5.1658 | LA: 1.8665 | HGR: 0.0129 | KL: 9.6555 | Ent: -0.5918 | Time: 0.09s
Epoch 16 | Train Loss: 12.2470 | Val Loss: 8.1879 | LS: 0.4017 | LX: 5.0768 | LA: 1.8476 | HGR: 0.0483 | KL: 9.0475 | Ent: -0.5781 | Time: 0.09s
Epoch 17 | Train Loss: 11.9093 | Val Loss: 8.2050 | LS: 0.3769 | LX: 5.0062 | LA: 1.8298 | HGR: 0.0707 | KL: 8.8179 | Ent: -0.5633 | Time: 0.09s
Epoch 18 | Train Loss: 11.6848 | Val Loss: 8.1876 | LS: 0.3630 | LX: 4.9557 | LA: 1.8124 | HGR: 0.0194 | KL: 8.4959 | Ent: -0.5476 | Time: 0.09s
Epoch 19 | Train Loss: 11.3702 | Val Loss: 8.2293 | LS: 0.3398 | LX: 4.9207 | LA: 1.7957 | HGR: 0.0587 | KL: 8.0928 | Ent: -0.5322 | Time: 0.09s
Epoch 20 | Train Loss: 11.0682 | Val Loss: 8.3028 | LS: 0.3152 | LX: 4.9009 | LA: 1.7798 | HGR: 0.0401 | KL: 7.9117 | Ent: -0.5116 | Time: 0.09s
Epoch 21 | Train Loss: 10.8035 | Val Loss: 8.4920 | LS: 0.2938 | LX: 4.8746 | LA: 1.7646 | HGR: 0.0259 | KL: 7.8751 | Ent: -0.4929 | Time: 0.09s
Epoch 22 | Train Loss: 10.5002 | Val Loss: 8.6533 | LS: 0.2650 | LX: 4.8651 | LA: 1.7500 | HGR: -0.0531 | KL: 8.1829 | Ent: -0.4625 | Time: 0.09s
Epoch 23 | Train Loss: 10.2141 | Val Loss: 8.7654 | LS: 0.2396 | LX: 4.8443 | LA: 1.7354 | HGR: 0.0443 | KL: 8.4249 | Ent: -0.4340 | Time: 0.09s
Epoch 24 | Train Loss: 9.9368 | Val Loss: 8.8764 | LS: 0.2161 | LX: 4.8222 | LA: 1.7210 | HGR: -0.0036 | KL: 8.5461 | Ent: -0.4089 | Time: 0.09s
Epoch 25 | Train Loss: 9.5782 | Val Loss: 8.9874 | LS: 0.1853 | LX: 4.7954 | LA: 1.7067 | HGR: 0.0240 | KL: 8.6955 | Ent: -0.3785 | Time: 0.09s
Epoch 26 | Train Loss: 9.3303 | Val Loss: 8.9650 | LS: 0.1646 | LX: 4.7718 | LA: 1.6927 | HGR: 0.0717 | KL: 8.9095 | Ent: -0.3495 | Time: 0.09s
Epoch 27 | Train Loss: 9.0045 | Val Loss: 9.0512 | LS: 0.1385 | LX: 4.7460 | LA: 1.6784 | HGR: 0.0548 | KL: 8.8860 | Ent: -0.3225 | Time: 0.09s
Epoch 28 | Train Loss: 8.7516 | Val Loss: 9.4445 | LS: 0.1168 | LX: 4.7285 | LA: 1.6648 | HGR: 0.0303 | KL: 9.1091 | Ent: -0.2920 | Time: 0.09s
Epoch 29 | Train Loss: 8.5100 | Val Loss: 8.9860 | LS: 0.0912 | LX: 4.7052 | LA: 1.6526 | HGR: 0.0427 | KL: 10.0396 | Ent: -0.2458 | Time: 0.09s
Epoch 30 | Train Loss: 8.3494 | Val Loss: 9.4737 | LS: 0.0880 | LX: 4.6925 | LA: 1.6394 | HGR: 0.0462 | KL: 8.9596 | Ent: -0.2470 | Time: 0.09s
