{'model': 'vgae', 'task': 'train', 'dataset': 'pokec_n', 'dgl_data': False, 'device': 'cuda', 'seed': 0, 'epochs': 200, 'print_every': 1, 'save_every': -1, 'lr': 0.001, 'weight_decay': 0.0005, 'hidden': 64, 'patience': 20, 'warmup': 50, 'dropout': 0.0, 'kd_temp': 4, 'kd_lambda': 0.5, 'hidden_vgae': 256, 'latent_size': 32, 'hgr_steps_per_epoch': 10, 'lambda_hgr': 0.5, 'hidden_hgr': 512, 'channels': 8, 'lambda_dd': 0.1, 'alpha': 0.1, 'beta': 1.0, 'gamma': 5.0, 'adv_steps_per_epoch': 2, 'mask_warmup': 0.4}
--- Starting train VGAE on pokec_n ---
Starting Stage 1 (VGAE) training on pokec_n...
Epoch 1 | Train Loss: 262.8641 | Val Loss: 128.1275 | LS: 0.6802 | LX: 252.1136 | LA: 3.2585 | HGR: -0.0134 | KL: 0.2945 | Ent: -0.6903 | Time: 0.76s
Epoch 2 | Train Loss: 138.6818 | Val Loss: 62.7108 | LS: 0.6895 | LX: 127.9507 | LA: 3.1448 | HGR: 0.0059 | KL: 0.2935 | Ent: -0.6911 | Time: 0.33s
Epoch 3 | Train Loss: 71.1290 | Val Loss: 31.9199 | LS: 0.6993 | LX: 60.4061 | LA: 3.0393 | HGR: 0.0257 | KL: 0.3936 | Ent: -0.6910 | Time: 0.33s
Epoch 4 | Train Loss: 39.2743 | Val Loss: 18.0270 | LS: 0.7118 | LX: 28.5246 | LA: 2.9418 | HGR: 0.0411 | KL: 0.5796 | Ent: -0.6899 | Time: 0.33s
Epoch 5 | Train Loss: 25.0226 | Val Loss: 13.1017 | LS: 0.7251 | LX: 14.2341 | LA: 2.8493 | HGR: 0.0611 | KL: 0.8452 | Ent: -0.6878 | Time: 0.33s
Epoch 6 | Train Loss: 20.0564 | Val Loss: 11.7085 | LS: 0.7378 | LX: 9.2285 | LA: 2.7654 | HGR: 0.0414 | KL: 1.1676 | Ent: -0.6848 | Time: 0.33s
Epoch 7 | Train Loss: 18.6964 | Val Loss: 11.0590 | LS: 0.7470 | LX: 7.8378 | LA: 2.6910 | HGR: 0.0525 | KL: 1.4227 | Ent: -0.6822 | Time: 0.33s
Epoch 8 | Train Loss: 18.0723 | Val Loss: 10.7238 | LS: 0.7516 | LX: 7.2142 | LA: 2.6279 | HGR: 0.0030 | KL: 1.4794 | Ent: -0.6814 | Time: 0.33s
Epoch 9 | Train Loss: 17.6560 | Val Loss: 10.2639 | LS: 0.7470 | LX: 6.8856 | LA: 2.5725 | HGR: 0.0562 | KL: 1.4153 | Ent: -0.6824 | Time: 0.33s
Epoch 10 | Train Loss: 17.1405 | Val Loss: 9.6231 | LS: 0.7452 | LX: 6.4310 | LA: 2.5194 | HGR: 0.0200 | KL: 1.3307 | Ent: -0.6829 | Time: 0.33s
Epoch 11 | Train Loss: 16.4472 | Val Loss: 8.9452 | LS: 0.7410 | LX: 5.8220 | LA: 2.4692 | HGR: 0.0324 | KL: 1.2303 | Ent: -0.6841 | Time: 0.33s
Epoch 12 | Train Loss: 15.7455 | Val Loss: 8.1511 | LS: 0.7385 | LX: 5.1896 | LA: 2.4219 | HGR: 0.0146 | KL: 1.0904 | Ent: -0.6850 | Time: 0.33s
Epoch 13 | Train Loss: 14.8669 | Val Loss: 7.2777 | LS: 0.7321 | LX: 4.4226 | LA: 2.3783 | HGR: 0.0127 | KL: 0.8998 | Ent: -0.6867 | Time: 0.33s
Epoch 14 | Train Loss: 13.8864 | Val Loss: 6.5875 | LS: 0.7249 | LX: 3.5618 | LA: 2.3375 | HGR: 0.0103 | KL: 0.6975 | Ent: -0.6880 | Time: 0.33s
Epoch 15 | Train Loss: 13.1113 | Val Loss: 6.1576 | LS: 0.7186 | LX: 2.8982 | LA: 2.2986 | HGR: 0.0077 | KL: 0.5154 | Ent: -0.6894 | Time: 0.33s
Epoch 16 | Train Loss: 12.6348 | Val Loss: 5.8984 | LS: 0.7140 | LX: 2.5140 | LA: 2.2612 | HGR: 0.0142 | KL: 0.3660 | Ent: -0.6904 | Time: 0.33s
Epoch 17 | Train Loss: 12.3261 | Val Loss: 5.8512 | LS: 0.7077 | LX: 2.3119 | LA: 2.2255 | HGR: -0.0068 | KL: 0.2462 | Ent: -0.6911 | Time: 0.33s
Epoch 18 | Train Loss: 12.2295 | Val Loss: 5.8975 | LS: 0.7022 | LX: 2.3109 | LA: 2.1913 | HGR: -0.0208 | KL: 0.1555 | Ent: -0.6916 | Time: 0.33s
Epoch 19 | Train Loss: 12.2371 | Val Loss: 5.8392 | LS: 0.6988 | LX: 2.3902 | LA: 2.1584 | HGR: 0.0083 | KL: 0.0959 | Ent: -0.6920 | Time: 0.33s
Epoch 20 | Train Loss: 12.1152 | Val Loss: 5.6448 | LS: 0.6926 | LX: 2.3655 | LA: 2.1259 | HGR: -0.0044 | KL: 0.0634 | Ent: -0.6922 | Time: 0.33s
Epoch 21 | Train Loss: 11.8920 | Val Loss: 5.4302 | LS: 0.6892 | LX: 2.2092 | LA: 2.0941 | HGR: -0.0096 | KL: 0.0496 | Ent: -0.6921 | Time: 0.33s
Epoch 22 | Train Loss: 11.6474 | Val Loss: 5.2668 | LS: 0.6855 | LX: 2.0333 | LA: 2.0629 | HGR: 0.0096 | KL: 0.0477 | Ent: -0.6920 | Time: 0.33s
Epoch 23 | Train Loss: 11.4571 | Val Loss: 5.1811 | LS: 0.6824 | LX: 1.9034 | LA: 2.0328 | HGR: 0.0120 | KL: 0.0543 | Ent: -0.6917 | Time: 0.33s
Epoch 24 | Train Loss: 11.3190 | Val Loss: 5.1492 | LS: 0.6772 | LX: 1.8457 | LA: 2.0034 | HGR: -0.0014 | KL: 0.0686 | Ent: -0.6913 | Time: 0.33s
Epoch 25 | Train Loss: 11.2583 | Val Loss: 5.1279 | LS: 0.6736 | LX: 1.8478 | LA: 1.9750 | HGR: -0.0039 | KL: 0.0893 | Ent: -0.6908 | Time: 0.33s
Epoch 26 | Train Loss: 11.2035 | Val Loss: 5.0732 | LS: 0.6697 | LX: 1.8579 | LA: 1.9473 | HGR: -0.0109 | KL: 0.1161 | Ent: -0.6901 | Time: 0.33s
Epoch 27 | Train Loss: 11.1107 | Val Loss: 5.0141 | LS: 0.6656 | LX: 1.8302 | LA: 1.9201 | HGR: 0.0309 | KL: 0.1484 | Ent: -0.6892 | Time: 0.33s
Epoch 28 | Train Loss: 11.0180 | Val Loss: 4.9592 | LS: 0.6628 | LX: 1.7897 | LA: 1.8938 | HGR: 0.0041 | KL: 0.1854 | Ent: -0.6881 | Time: 0.33s
Epoch 29 | Train Loss: 10.9176 | Val Loss: 4.9201 | LS: 0.6587 | LX: 1.7535 | LA: 1.8682 | HGR: 0.0015 | KL: 0.2269 | Ent: -0.6868 | Time: 0.33s
Epoch 30 | Train Loss: 10.8255 | Val Loss: 4.9067 | LS: 0.6545 | LX: 1.7258 | LA: 1.8431 | HGR: 0.0015 | KL: 0.2682 | Ent: -0.6853 | Time: 0.33s
Epoch 31 | Train Loss: 10.7690 | Val Loss: 4.8964 | LS: 0.6518 | LX: 1.7185 | LA: 1.8184 | HGR: 0.0009 | KL: 0.3121 | Ent: -0.6832 | Time: 0.33s
Epoch 32 | Train Loss: 10.6973 | Val Loss: 4.8823 | LS: 0.6474 | LX: 1.7120 | LA: 1.7944 | HGR: 0.0032 | KL: 0.3623 | Ent: -0.6809 | Time: 0.33s
Epoch 33 | Train Loss: 10.6100 | Val Loss: 4.8752 | LS: 0.6421 | LX: 1.7020 | LA: 1.7709 | HGR: -0.0260 | KL: 0.4202 | Ent: -0.6781 | Time: 0.33s
Epoch 34 | Train Loss: 10.5458 | Val Loss: 4.8654 | LS: 0.6381 | LX: 1.6911 | LA: 1.7480 | HGR: 0.0177 | KL: 0.4833 | Ent: -0.6749 | Time: 0.33s
Epoch 35 | Train Loss: 10.4844 | Val Loss: 4.8500 | LS: 0.6345 | LX: 1.6875 | LA: 1.7260 | HGR: -0.0003 | KL: 0.5568 | Ent: -0.6706 | Time: 0.33s
Epoch 36 | Train Loss: 10.3992 | Val Loss: 4.8257 | LS: 0.6285 | LX: 1.6799 | LA: 1.7049 | HGR: -0.0002 | KL: 0.6369 | Ent: -0.6659 | Time: 0.33s
Epoch 37 | Train Loss: 10.3266 | Val Loss: 4.8222 | LS: 0.6242 | LX: 1.6749 | LA: 1.6842 | HGR: -0.0248 | KL: 0.7019 | Ent: -0.6611 | Time: 0.33s
Epoch 38 | Train Loss: 10.2561 | Val Loss: 4.8092 | LS: 0.6189 | LX: 1.6731 | LA: 1.6638 | HGR: 0.0064 | KL: 0.7263 | Ent: -0.6562 | Time: 0.33s
Epoch 39 | Train Loss: 10.1616 | Val Loss: 4.7796 | LS: 0.6116 | LX: 1.6747 | LA: 1.6442 | HGR: 0.0016 | KL: 0.7509 | Ent: -0.6514 | Time: 0.33s
Epoch 40 | Train Loss: 10.0604 | Val Loss: 4.7757 | LS: 0.6032 | LX: 1.6794 | LA: 1.6255 | HGR: -0.0145 | KL: 0.8226 | Ent: -0.6450 | Time: 0.33s
Epoch 41 | Train Loss: 9.9477 | Val Loss: 4.7787 | LS: 0.5933 | LX: 1.6837 | LA: 1.6073 | HGR: -0.0061 | KL: 0.8765 | Ent: -0.6382 | Time: 0.33s
Epoch 42 | Train Loss: 9.8383 | Val Loss: 4.8057 | LS: 0.5820 | LX: 1.6982 | LA: 1.5894 | HGR: 0.0043 | KL: 0.9867 | Ent: -0.6311 | Time: 0.33s
Epoch 43 | Train Loss: 9.7402 | Val Loss: 4.8562 | LS: 0.5710 | LX: 1.7287 | LA: 1.5723 | HGR: -0.0261 | KL: 1.1979 | Ent: -0.6185 | Time: 0.33s
Epoch 44 | Train Loss: 9.5895 | Val Loss: 4.8820 | LS: 0.5521 | LX: 1.7643 | LA: 1.5549 | HGR: 0.0141 | KL: 1.3617 | Ent: -0.6083 | Time: 0.33s
Epoch 45 | Train Loss: 9.3954 | Val Loss: 4.9120 | LS: 0.5291 | LX: 1.8022 | LA: 1.5388 | HGR: -0.0159 | KL: 1.8099 | Ent: -0.5882 | Time: 0.33s
Epoch 46 | Train Loss: 9.2365 | Val Loss: 4.9249 | LS: 0.5103 | LX: 1.8219 | LA: 1.5217 | HGR: -0.0015 | KL: 2.1674 | Ent: -0.5743 | Time: 0.33s
Epoch 47 | Train Loss: 9.0230 | Val Loss: 4.9981 | LS: 0.4858 | LX: 1.8281 | LA: 1.5054 | HGR: -0.0038 | KL: 2.8155 | Ent: -0.5517 | Time: 0.33s
Epoch 48 | Train Loss: 8.8173 | Val Loss: 5.0028 | LS: 0.4614 | LX: 1.8140 | LA: 1.4897 | HGR: 0.0202 | KL: 3.6986 | Ent: -0.5210 | Time: 0.33s
Epoch 49 | Train Loss: 8.6277 | Val Loss: 5.0838 | LS: 0.4422 | LX: 1.7853 | LA: 1.4737 | HGR: 0.0186 | KL: 4.2092 | Ent: -0.5171 | Time: 0.33s
Epoch 50 | Train Loss: 8.4163 | Val Loss: 4.9957 | LS: 0.4183 | LX: 1.7336 | LA: 1.4609 | HGR: 0.0237 | KL: 5.7008 | Ent: -0.4573 | Time: 0.33s
Epoch 51 | Train Loss: 8.2086 | Val Loss: 4.9971 | LS: 0.4018 | LX: 1.7131 | LA: 1.4464 | HGR: 0.0009 | KL: 5.5008 | Ent: -0.4810 | Time: 0.33s
Epoch 52 | Train Loss: 8.0103 | Val Loss: 5.0335 | LS: 0.3821 | LX: 1.6870 | LA: 1.4349 | HGR: 0.0241 | KL: 6.1054 | Ent: -0.4447 | Time: 0.33s
Epoch 53 | Train Loss: 7.8629 | Val Loss: 4.9446 | LS: 0.3687 | LX: 1.6734 | LA: 1.4245 | HGR: 0.0195 | KL: 6.4855 | Ent: -0.4199 | Time: 0.33s
Epoch 54 | Train Loss: 7.7375 | Val Loss: 4.9233 | LS: 0.3587 | LX: 1.6796 | LA: 1.4138 | HGR: 0.0079 | KL: 6.0463 | Ent: -0.4486 | Time: 0.33s
Epoch 55 | Train Loss: 7.5558 | Val Loss: 4.8393 | LS: 0.3433 | LX: 1.6783 | LA: 1.4057 | HGR: -0.0001 | KL: 6.3317 | Ent: -0.4056 | Time: 0.33s
Epoch 56 | Train Loss: 7.4560 | Val Loss: 4.8698 | LS: 0.3349 | LX: 1.6763 | LA: 1.3979 | HGR: 0.0293 | KL: 6.3051 | Ent: -0.3880 | Time: 0.33s
Epoch 57 | Train Loss: 7.3429 | Val Loss: 4.7614 | LS: 0.3263 | LX: 1.6877 | LA: 1.3894 | HGR: 0.0136 | KL: 5.7420 | Ent: -0.4219 | Time: 0.33s
Epoch 58 | Train Loss: 7.1668 | Val Loss: 4.7725 | LS: 0.3132 | LX: 1.6780 | LA: 1.3838 | HGR: 0.0170 | KL: 5.7566 | Ent: -0.3884 | Time: 0.33s
Epoch 59 | Train Loss: 7.1315 | Val Loss: 4.7166 | LS: 0.3112 | LX: 1.6631 | LA: 1.3799 | HGR: 0.0290 | KL: 6.1242 | Ent: -0.3493 | Time: 0.33s
Epoch 60 | Train Loss: 6.9005 | Val Loss: 4.7092 | LS: 0.2924 | LX: 1.6701 | LA: 1.3721 | HGR: 0.0027 | KL: 5.6022 | Ent: -0.3724 | Time: 0.33s
Epoch 61 | Train Loss: 6.7817 | Val Loss: 4.7507 | LS: 0.2820 | LX: 1.6669 | LA: 1.3670 | HGR: 0.0094 | KL: 5.5653 | Ent: -0.3669 | Time: 0.33s
Epoch 62 | Train Loss: 6.7155 | Val Loss: 4.7088 | LS: 0.2767 | LX: 1.6553 | LA: 1.3654 | HGR: 0.0231 | KL: 5.9059 | Ent: -0.3261 | Time: 0.33s
Epoch 63 | Train Loss: 6.5281 | Val Loss: 4.6541 | LS: 0.2595 | LX: 1.6585 | LA: 1.3593 | HGR: 0.0337 | KL: 5.7060 | Ent: -0.3281 | Time: 0.33s
Epoch 64 | Train Loss: 6.4363 | Val Loss: 4.6616 | LS: 0.2517 | LX: 1.6591 | LA: 1.3532 | HGR: 0.0268 | KL: 5.6297 | Ent: -0.3310 | Time: 0.33s
Epoch 65 | Train Loss: 6.3260 | Val Loss: 4.6320 | LS: 0.2457 | LX: 1.6509 | LA: 1.3502 | HGR: -0.0152 | KL: 5.7970 | Ent: -0.2958 | Time: 0.33s
Epoch 66 | Train Loss: 6.1911 | Val Loss: 4.6360 | LS: 0.2319 | LX: 1.6517 | LA: 1.3438 | HGR: 0.0193 | KL: 5.6752 | Ent: -0.2989 | Time: 0.33s
