{'model': 'vgae', 'task': 'train', 'dataset': 'pokec_z', 'dgl_data': False, 'device': 'cuda', 'seed': 0, 'epochs': 200, 'print_every': 1, 'save_every': -1, 'lr': 0.001, 'weight_decay': 0.0005, 'hidden': 64, 'patience': 20, 'warmup': 50, 'dropout': 0.0, 'kd_temp': 4, 'kd_lambda': 0.5, 'hidden_vgae': 256, 'latent_size': 32, 'hgr_steps_per_epoch': 10, 'lambda_hgr': 0.5, 'hidden_hgr': 512, 'channels': 8, 'lambda_dd': 0.1, 'alpha': 0.1, 'beta': 1.0, 'gamma': 5.0, 'adv_steps_per_epoch': 2, 'mask_warmup': 0.4}
--- Starting train VGAE on pokec_z ---
Starting Stage 1 (VGAE) training on pokec_z...
Epoch 1 | Train Loss: 89.6478 | Val Loss: 46.8492 | LS: 0.7157 | LX: 79.7764 | LA: 2.0252 | HGR: 0.0316 | KL: 0.2625 | Ent: -0.6896 | Time: 0.83s
Epoch 2 | Train Loss: 49.6162 | Val Loss: 24.3736 | LS: 0.7106 | LX: 39.8391 | LA: 1.9804 | HGR: 0.0035 | KL: 0.2416 | Ent: -0.6906 | Time: 0.36s
Epoch 3 | Train Loss: 29.0361 | Val Loss: 14.9111 | LS: 0.7057 | LX: 19.3494 | LA: 1.9382 | HGR: 0.0188 | KL: 0.2310 | Ent: -0.6912 | Time: 0.36s
Epoch 4 | Train Loss: 20.3783 | Val Loss: 10.1489 | LS: 0.7034 | LX: 10.7536 | LA: 1.8989 | HGR: 0.0013 | KL: 0.2233 | Ent: -0.6915 | Time: 0.36s
Epoch 5 | Train Loss: 15.9789 | Val Loss: 7.7801 | LS: 0.6990 | LX: 6.4350 | LA: 1.8625 | HGR: -0.0083 | KL: 0.2255 | Ent: -0.6918 | Time: 0.36s
Epoch 6 | Train Loss: 13.7754 | Val Loss: 6.8921 | LS: 0.6949 | LX: 4.3057 | LA: 1.8289 | HGR: -0.0327 | KL: 0.2468 | Ent: -0.6919 | Time: 0.36s
Epoch 7 | Train Loss: 12.9228 | Val Loss: 6.5483 | LS: 0.6893 | LX: 3.5365 | LA: 1.7982 | HGR: -0.0267 | KL: 0.2954 | Ent: -0.6916 | Time: 0.36s
Epoch 8 | Train Loss: 12.5777 | Val Loss: 6.3682 | LS: 0.6855 | LX: 3.2536 | LA: 1.7701 | HGR: 0.0116 | KL: 0.3723 | Ent: -0.6912 | Time: 0.36s
Epoch 9 | Train Loss: 12.3887 | Val Loss: 6.0852 | LS: 0.6824 | LX: 3.1154 | LA: 1.7441 | HGR: 0.0210 | KL: 0.4735 | Ent: -0.6900 | Time: 0.36s
Epoch 10 | Train Loss: 12.0736 | Val Loss: 5.7778 | LS: 0.6766 | LX: 2.8746 | LA: 1.7200 | HGR: 0.0137 | KL: 0.5836 | Ent: -0.6884 | Time: 0.36s
Epoch 11 | Train Loss: 11.7558 | Val Loss: 5.5513 | LS: 0.6729 | LX: 2.6081 | LA: 1.6976 | HGR: -0.0185 | KL: 0.6804 | Ent: -0.6865 | Time: 0.36s
Epoch 12 | Train Loss: 11.4897 | Val Loss: 5.3525 | LS: 0.6673 | LX: 2.4130 | LA: 1.6766 | HGR: 0.0045 | KL: 0.7356 | Ent: -0.6845 | Time: 0.36s
Epoch 13 | Train Loss: 11.2918 | Val Loss: 5.1665 | LS: 0.6669 | LX: 2.2348 | LA: 1.6570 | HGR: -0.0437 | KL: 0.7408 | Ent: -0.6825 | Time: 0.36s
Epoch 14 | Train Loss: 11.0565 | Val Loss: 5.0410 | LS: 0.6613 | LX: 2.0721 | LA: 1.6387 | HGR: 0.0033 | KL: 0.7335 | Ent: -0.6801 | Time: 0.36s
Epoch 15 | Train Loss: 10.9280 | Val Loss: 4.9495 | LS: 0.6600 | LX: 1.9728 | LA: 1.6218 | HGR: -0.0170 | KL: 0.7330 | Ent: -0.6775 | Time: 0.36s
Epoch 16 | Train Loss: 10.8134 | Val Loss: 4.8560 | LS: 0.6563 | LX: 1.9123 | LA: 1.6058 | HGR: 0.0016 | KL: 0.7149 | Ent: -0.6745 | Time: 0.36s
Epoch 17 | Train Loss: 10.7012 | Val Loss: 4.7848 | LS: 0.6544 | LX: 1.8409 | LA: 1.5908 | HGR: 0.0109 | KL: 0.6338 | Ent: -0.6722 | Time: 0.36s
Epoch 18 | Train Loss: 10.6146 | Val Loss: 4.7168 | LS: 0.6532 | LX: 1.7894 | LA: 1.5765 | HGR: -0.0152 | KL: 0.5330 | Ent: -0.6705 | Time: 0.36s
Epoch 19 | Train Loss: 10.5171 | Val Loss: 4.6504 | LS: 0.6499 | LX: 1.7459 | LA: 1.5632 | HGR: -0.0125 | KL: 0.4482 | Ent: -0.6685 | Time: 0.36s
Epoch 20 | Train Loss: 10.4199 | Val Loss: 4.6046 | LS: 0.6464 | LX: 1.7031 | LA: 1.5506 | HGR: -0.0137 | KL: 0.3836 | Ent: -0.6669 | Time: 0.36s
Epoch 21 | Train Loss: 10.3475 | Val Loss: 4.5933 | LS: 0.6435 | LX: 1.6765 | LA: 1.5389 | HGR: 0.0059 | KL: 0.3511 | Ent: -0.6647 | Time: 0.36s
Epoch 22 | Train Loss: 10.2810 | Val Loss: 4.5923 | LS: 0.6390 | LX: 1.6696 | LA: 1.5277 | HGR: -0.0066 | KL: 0.3391 | Ent: -0.6615 | Time: 0.36s
Epoch 23 | Train Loss: 10.1664 | Val Loss: 4.5906 | LS: 0.6286 | LX: 1.6733 | LA: 1.5175 | HGR: -0.0118 | KL: 0.3685 | Ent: -0.6545 | Time: 0.36s
Epoch 24 | Train Loss: 10.0796 | Val Loss: 4.5853 | LS: 0.6212 | LX: 1.6701 | LA: 1.5079 | HGR: -0.0021 | KL: 0.4368 | Ent: -0.6477 | Time: 0.36s
Epoch 25 | Train Loss: 9.9413 | Val Loss: 4.5998 | LS: 0.6076 | LX: 1.6746 | LA: 1.4987 | HGR: 0.0255 | KL: 0.5618 | Ent: -0.6377 | Time: 0.36s
Epoch 26 | Train Loss: 9.8403 | Val Loss: 4.6017 | LS: 0.5975 | LX: 1.6818 | LA: 1.4900 | HGR: 0.0088 | KL: 0.6656 | Ent: -0.6288 | Time: 0.36s
Epoch 27 | Train Loss: 9.6538 | Val Loss: 4.5985 | LS: 0.5781 | LX: 1.6932 | LA: 1.4816 | HGR: 0.0180 | KL: 0.7936 | Ent: -0.6196 | Time: 0.36s
Epoch 28 | Train Loss: 9.4849 | Val Loss: 4.6111 | LS: 0.5585 | LX: 1.7156 | LA: 1.4732 | HGR: 0.0094 | KL: 1.0504 | Ent: -0.6071 | Time: 0.36s
Epoch 29 | Train Loss: 9.3302 | Val Loss: 4.6364 | LS: 0.5404 | LX: 1.7316 | LA: 1.4643 | HGR: 0.0235 | KL: 1.3467 | Ent: -0.5954 | Time: 0.36s
Epoch 30 | Train Loss: 9.0810 | Val Loss: 4.6749 | LS: 0.5124 | LX: 1.7433 | LA: 1.4554 | HGR: 0.0294 | KL: 1.7996 | Ent: -0.5777 | Time: 0.36s
Epoch 31 | Train Loss: 8.8541 | Val Loss: 4.7016 | LS: 0.4860 | LX: 1.7437 | LA: 1.4455 | HGR: 0.0226 | KL: 2.5846 | Ent: -0.5464 | Time: 0.36s
Epoch 32 | Train Loss: 8.6036 | Val Loss: 4.7866 | LS: 0.4607 | LX: 1.7050 | LA: 1.4356 | HGR: 0.0082 | KL: 3.3094 | Ent: -0.5265 | Time: 0.36s
Epoch 33 | Train Loss: 8.4296 | Val Loss: 4.8242 | LS: 0.4385 | LX: 1.6699 | LA: 1.4260 | HGR: 0.0631 | KL: 4.5772 | Ent: -0.4842 | Time: 0.36s
Epoch 34 | Train Loss: 8.3019 | Val Loss: 4.9424 | LS: 0.4236 | LX: 1.6558 | LA: 1.4163 | HGR: -0.0148 | KL: 4.9704 | Ent: -0.5012 | Time: 0.36s
Epoch 35 | Train Loss: 8.1305 | Val Loss: 4.9599 | LS: 0.4009 | LX: 1.6442 | LA: 1.4094 | HGR: -0.0016 | KL: 6.2784 | Ent: -0.4421 | Time: 0.36s
Epoch 36 | Train Loss: 7.9778 | Val Loss: 4.9854 | LS: 0.3841 | LX: 1.6373 | LA: 1.4012 | HGR: 0.0191 | KL: 6.5441 | Ent: -0.4420 | Time: 0.36s
Epoch 37 | Train Loss: 7.8994 | Val Loss: 4.9999 | LS: 0.3764 | LX: 1.6329 | LA: 1.3939 | HGR: -0.0069 | KL: 6.6639 | Ent: -0.4453 | Time: 0.36s
Epoch 38 | Train Loss: 7.7221 | Val Loss: 4.9567 | LS: 0.3578 | LX: 1.6240 | LA: 1.3893 | HGR: 0.0290 | KL: 7.1953 | Ent: -0.4057 | Time: 0.36s
Epoch 39 | Train Loss: 7.5876 | Val Loss: 4.8904 | LS: 0.3472 | LX: 1.6230 | LA: 1.3830 | HGR: 0.0297 | KL: 6.8933 | Ent: -0.4130 | Time: 0.36s
Epoch 40 | Train Loss: 7.4763 | Val Loss: 4.8408 | LS: 0.3404 | LX: 1.6173 | LA: 1.3783 | HGR: 0.0289 | KL: 6.5981 | Ent: -0.4097 | Time: 0.36s
Epoch 41 | Train Loss: 7.3169 | Val Loss: 4.7465 | LS: 0.3293 | LX: 1.6048 | LA: 1.3767 | HGR: 0.0094 | KL: 6.6306 | Ent: -0.3767 | Time: 0.36s
Epoch 42 | Train Loss: 7.1469 | Val Loss: 4.6997 | LS: 0.3161 | LX: 1.6072 | LA: 1.3709 | HGR: 0.0486 | KL: 6.0073 | Ent: -0.3919 | Time: 0.36s
Epoch 43 | Train Loss: 7.0317 | Val Loss: 4.6535 | LS: 0.3102 | LX: 1.6010 | LA: 1.3679 | HGR: 0.0179 | KL: 5.7471 | Ent: -0.3805 | Time: 0.36s
